id,Calendar_age,Calendar_age_error,Reservoir_Min_Range_at_95.0%,Reservoir_Max_Range_at_95.0%,Mode,MidRange,Median
202-1240,19704.5,200.0,-149.0,1551.0,1176.0,701.0,1193.0
202-1240,22245.0,200.0,-707.0,1615.0,1235.0,454.0,1192.0
202-1240,24483.0,200.0,-1130.0,646.0,314.0,-242.0,317.0
202-1240,26214.0,200.0,-626.0,1785.0,1321.0,580.0,1304.0
SO161/5_22SL,10056.5,415.0,-3214.0,1026.0,206.0,-1094.0,199.0
SO161/5_22SL,11591.0,98.0,394.0,1113.0,1004.0,754.0,1001.0
SO161/5_22SL,12492.0,128.0,-109.0,1451.0,1250.0,671.0,1232.0
SO161/5_22SL,13853.0,115.0,44.0,1317.0,1040.0,680.0,1060.0
SO161/5_22SL,14532.0,114.0,382.0,1152.0,1020.0,767.0,1019.0
SO161/5_22SL,14967.0,103.0,558.0,1692.0,1487.0,1125.0,1485.0
SO161/5_22SL,15216.5,86.0,687.0,1620.0,1443.0,1154.0,1439.0
SO161/5_22SL,15710.5,81.0,857.0,1709.0,1546.0,1283.0,1544.0
SO161/5_22SL,15969.0,81.0,775.0,1675.0,1512.0,1225.0,1510.0
SO161/5_22SL,16360.5,80.0,799.0,1705.0,1530.0,1252.0,1533.0
SO161/5_22SL,16658.5,82.0,837.0,1747.0,1584.0,1292.0,1587.0
SO161/5_22SL,17084.0,82.0,752.0,1854.0,1604.0,1303.0,1629.0
SO161/5_22SL,17490.0,88.0,904.0,1796.0,1565.0,1350.0,1581.0
SO161/5_22SL,18159.0,75.0,289.0,1492.0,1349.0,890.0,1314.0
SO161/5_22SL,18682.0,58.0,444.0,1513.0,1254.0,978.0,1279.0
SO161/5_22SL,18859.0,55.0,516.0,1465.0,1258.0,990.0,1263.0
SO161/5_22SL,18974.0,60.0,135.0,1286.0,1065.0,710.0,1067.0
SO161/5_22SL,19098.0,71.0,287.0,1243.0,1065.0,765.0,1060.0
SO161/5_22SL,19494.0,82.0,335.0,1350.0,1191.0,842.0,1162.0
