Event,Latitude,Longitude,Cal age [ka BP],"Cal age std e [±] (calculated, 1 sigma)","Age dated [ka] (planktic, Age, 14C AMS)","Age std e [±] (planktic, calculated, 1 sigma)","Age dated [ka] (Coeval atmospheric 14C age, A...)"
V21-40,-5.5,-106.8,17799.0,132.0,15365.0,100.0,14514.0
V21-40,-5.5,-106.8,21007.5,317.0,18140.0,250.0,17470.0
MD01-2386,1.0,130.0,820.0,83.0,1597.0,88.0,943.0
MD01-2386,1.0,130.0,4976.0,111.0,5043.0,90.0,4416.0
MD01-2386,1.0,130.0,9940.0,127.0,9473.0,91.0,8879.0
MD01-2386,1.0,130.0,10893.0,128.0,10166.0,91.0,9624.4
MD01-2386,1.0,130.0,12290.0,105.0,11120.0,72.0,10417.0
MD01-2386,1.0,130.0,12830.0,86.0,11662.0,93.0,10930.0
MD01-2386,1.0,130.0,13884.0,122.0,12644.0,94.0,12059.0
MD01-2386,1.0,130.0,14049.0,188.0,12761.0,122.0,12128.0
MD01-2386,1.0,130.0,15196.0,164.0,13480.0,126.0,12741.0
MD01-2386,1.0,130.0,16195.0,150.0,14250.0,117.0,13434.0
MD01-2386,1.0,130.0,16338.999999999998,130.0,14362.0,102.0,13553.0
MD01-2386,1.0,130.0,17135.0,133.0,15001.0,117.0,14151.0
MD01-2386,1.0,130.0,17239.0,140.0,15098.0,114.0,14148.0
MD01-2386,1.0,130.0,18056.5,173.0,15760.0,147.0,14707.0
MD01-2386,1.0,130.0,18689.0,119.0,16338.000000000002,105.0,15339.0
MD01-2386,1.0,130.0,19232.0,132.0,16849.0,111.0,15965.0
RC24-8GC,-1.333333333,-11.9,3445.0,37.0,3770.0,30.0,3207.0
RC24-8GC,-1.333333333,-11.9,10287.0,63.0,9655.0,50.0,9182.4
RC24-8GC,-1.333333333,-11.9,12780.0,32.0,11535.0,35.0,10912.0
RC24-8GC,-1.333333333,-11.9,13600.0,60.0,12325.0,50.0,11772.0
RC24-8GC,-1.333333333,-11.9,15402.0,68.0,13550.0,50.0,12903.0
RC24-8GC,-1.333333333,-11.9,15717.0,67.0,13790.0,50.0,13110.0
RC24-8GC,-1.333333333,-11.9,16563.0,96.0,14440.0,70.0,13696.0
RC24-8GC,-1.333333333,-11.9,19008.0,116.0,16570.0,100.0,15766.0
Nesmeyanov25-1-GGC15,48.608,150.428,4682.0,52.0,5190.0,35.0,4132.0
Nesmeyanov25-1-GGC15,48.608,150.428,10718.0,86.0,10450.0,50.0,9484.400000000001
Nesmeyanov25-1-GGC15,48.608,150.428,16338.999999999998,89.0,14750.0,70.0,13553.0
Nesmeyanov25-1-GGC18,48.752,150.431,11049.0,77.0,10650.0,50.0,9543.0
Nesmeyanov25-1-GGC18,48.752,150.431,14035.0,98.0,13150.0,65.0,12096.0
Nesmeyanov25-1-GGC20,48.874,150.432,11205.0,47.0,10800.0,45.0,9775.0
Nesmeyanov25-1-GGC20,48.874,150.432,14453.0,117.0,13400.0,50.0,12404.0
Nesmeyanov25-1-GGC27,49.601,150.18,10859.0,95.0,10530.0,60.0,9569.800000000001
Nesmeyanov25-1-GGC27,49.601,150.18,13541.0,65.0,12760.0,55.0,11737.0
RNDB-GGC15,51.05,168.097,13589.0,60.0,12800.0,50.0,11729.0
RNDB-GGC5,51.112,167.895,14110.0,120.0,13200.0,75.0,12240.0
RNDB-GGC5,51.112,167.895,21979.0,132.0,19450.0,120.0,18012.0
RNDB-PC11,51.073,168.975,13935.0,72.0,13080.0,60.0,12028.0
RNDB-PC11,51.073,168.975,14019.0,102.0,13140.0,70.0,12063.0
RNDB-PC11,51.073,168.975,16602.0,114.0,14950.0,85.0,13727.0
RNDB-PC13,49.725,168.312,13958.0,90.0,13100.0,70.0,12003.0
