id,cal_age,cal_sigma,rad_res,rad_res_sd,mid1,mid2,wmn,med,mode,mid1_resage,mid2_resage,wmn_resage,med_resage,mode_resage,Latitude,Longitude,group
MD95-2007,12552,104,11500,90,10508,10774,10874,10510,10482,982,816,572,987,990,57.5,-8.4,Northeast Atlantic
RAPiD-15-4P,12556,200,11750,50,10515,10924,11003,10518,10375,816,832,707,1229,1355,62.29,-17.13,Northeast Atlantic
MD01-2461,12590,200,11032,39,10518,10942,10997,10548,10375,87,98,31,482,647,51.75,-12.92,Northeast Atlantic
MD95-2007,12596,98,11296,77,10532,10816,11005,10545,10480,704,580,341,747,759,57.5,-8.4,Northeast Atlantic
RAPiD-10-1P,12600,101,12583,41,10532,10830,11064,10550,10483,1690,1796,1580,2032,2049,62.98,-17.59,Northeast Atlantic
RAPiD-15-4P,12730,151,11900,45,10374,11030,11189,10760,10909,1150,886,703,1138,963,62.29,-17.13,Northeast Atlantic
94-609,12736,465,12380,120,10212,10938,11746,10877,10372,1442,1472,1473,1563,1957,49.88,-24.23,Northeast Atlantic
RAPiD-10-1P,12750,200,12512,39,10718,11050,11125,10854,11045,1276,1464,1478,1669,1497,62.98,-17.59,Northeast Atlantic
DAPC2,12761,200,11380,110,10720,11052,11094,10883,11045,602,338,257,550,405,58.97,-9.61,Northeast Atlantic
RAPiD-15-4P,12799,101,12000,50,10648,10932,11083,10912,10912,1179,1104,982,1091,1057,62.29,-17.13,Northeast Atlantic
RAPiD-15-4P,12833,101,11811,42,10644,10943,11152,10941,10912,961,892,768,867,849,62.29,-17.13,Northeast Atlantic
MD95-2007,12973,71,11471,62,11017,11021,11158,11044,11051,428,461,469,427,429,57.5,-8.4,Northeast Atlantic
RAPiD-15-4P,13090,201,11816,39,10629,11320,11872,11164,11051,564,519,273,654,768,62.29,-17.13,Northeast Atlantic
RAPiD-10-1P,13110,201,12650,50,10595,11335,11929,11216,11051,1376,1342,1041,1446,1602,62.98,-17.59,Northeast Atlantic
MD01-2461,13142,336,12551,46,10375,11208,11582,11266,11053,529,1354,1264,1279,1508,51.75,-12.92,Northeast Atlantic
MD04-2829CQ,13200,200,11574,150,11027,11397,11987,11338,11051,258,296,186,257,219,58.9,-9.6,Northeast Atlantic
MD01-2461,13304,200,12551,46,11062,11416,11984,11431,11517,1130,1172,922,1113,1036,51.75,-12.92,Northeast Atlantic
NA87-22,13423,349,11690,120,11013,11484,11959,11557,11830,132,242,92,113,156,55.5,-14.7,Northeast Atlantic
RAPiD-10-1P,13430,250,12800,60,11058,11417,11703,11557,11520,1264,1389,1371,1229,1273,62.98,-17.59,Northeast Atlantic
MD95-2007,13536,140,12353,74,11385,11582,11921,11695,11827,680,784,907,660,596,57.5,-8.4,Northeast Atlantic
RAPiD-17-5P,13550,300,12754,43,11056,11534,12009,11721,11829,502,1236,1019,1031,932,61.48,-19.54,Northeast Atlantic
RAPiD-15-4P,13566,201,12100,45,11626,11459,11751,11732,11827,391,650,711,366,282,62.29,-17.13,Northeast Atlantic
RAPiD-15-4P,13614,101,11793,49,11712,11679,11740,11789,11828,53,116,137,13,-21,62.29,-17.13,Northeast Atlantic
MD95-2007,13740,138,12630,100,11866,11793,12058,11857,11829,747,859,908,747,770,57.5,-8.4,Northeast Atlantic
RAPiD-10-1P,13750,251,12900,60,11378,11589,12207,11871,12027,1012,1348,1168,1007,874,62.98,-17.59,Northeast Atlantic
NA87-22,13777,328,12920,120,11372,11676,12176,11922,12024,1024,1286,1047,996,963,55.5,-14.7,Northeast Atlantic
RAPiD-15-4P,13783,101,12155,40,11931,11908,12097,11909,12021,228,263,191,234,316,62.29,-17.13,Northeast Atlantic
94-609,13797,324,12750,220,11373,11696,12249,11969,12027,838,1150,1071,812,792,49.88,-24.23,Northeast Atlantic
RAPiD-15-4P,13940,101,12560,39,11885,12022,12131,12038,12030,492,546,530,518,526,62.29,-17.13,Northeast Atlantic
RAPiD-15-4P,13970,53,12636,43,12054,12086,12295,12036,12030,586,576,592,595,603,62.29,-17.13,Northeast Atlantic
MD95-2007,14126,121,12790,120,12194,12060,12066,12247,12294,586,659,822,565,540,57.5,-8.4,Northeast Atlantic
NA87-22,14134,261,12380,120,11841,11818,12315,12256,12401,200,558,769,153,69,55.5,-14.7,Northeast Atlantic
RAPiD-10-1P,14230,201,12700,55,12054,12024,12292,12309,12398,458,690,714,390,354,62.98,-17.59,Northeast Atlantic
RAPiD-15-4P,14263,101,12487,43,12328,12202,12296,12324,12310,159,290,319,157,161,62.29,-17.13,Northeast Atlantic
RAPiD-17-5P,14286,251,12850,55,12055,12074,12501,12340,12400,596,797,705,512,465,61.48,-19.54,Northeast Atlantic
MD03-2697,14423,441,12520,60,11840,12118,12878,12391,12404,220,422,240,136,104,42.16,-9.7,Northeast Atlantic
94-609,14428,161,13650,90,12383,12282,12406,12400,12404,1260,1376,1370,1254,1249,49.88,-24.23,Northeast Atlantic
94-609,14428,161,12740,140,12383,12282,12406,12400,12404,350,466,515,346,343,49.88,-24.23,Northeast Atlantic
MD04-2829CQ,14540,200,12686,150,12404,12336,12563,12420,12412,269,348,483,266,265,58.9,-9.6,Northeast Atlantic
RAPiD-10-1P,14550,102,12914,44,12438,12354,12370,12435,12436,479,562,583,477,478,62.98,-17.59,Northeast Atlantic
MD99-2331,14726,117,13640,80,12436,12524,12500,12450,12468,1194,1115,1004,1192,1191,42.15,-9.68,Northeast Atlantic
RAPiD-17-5P,14789,251,13450,60,12538,12463,12670,12476,12470,919,990,1079,967,993,61.48,-19.54,Northeast Atlantic
MD04-2845,14815,134,13890,100,12482,12555,12537,12475,12488,1412,1322,1239,1414,1418,45.35,-5.22,Northeast Atlantic
RAPiD-15-4P,14822,251,14281,44,12552,12512,12472,12486,12474,1731,1770,1761,1789,1819,62.29,-17.13,Northeast Atlantic
MD95-2002,14838,146,13730,130,12497,12554,12547,12485,12491,1236,1156,1095,1240,1246,47.45,-8.53,Northeast Atlantic
RAPiD-17-5P,14928,251,13528,45,12613,12601,12786,12534,12486,922,932,940,985,1046,61.48,-19.54,Northeast Atlantic
MD99-2331,14955,186,13810,80,12576,12666,12736,12552,12501,1230,1156,1171,1249,1274,42.15,-9.68,Northeast Atlantic
NA87-22,14990,354,14580,130,12674,12591,13270,12587,12481,1924,2040,1882,1976,2058,55.5,-14.7,Northeast Atlantic
MD95-2002,15037,188,14200,110,12638,12694,12691,12618,12626,1569,1486,1540,1578,1592,47.45,-8.53,Northeast Atlantic
MD01-2461,15071,212,14530,58,12658,12756,12854,12643,12628,1868,1788,1700,1883,1899,51.75,-12.92,Northeast Atlantic
MD95-2002,15091,202,14420,120,12670,12744,12802,12658,12631,1750,1672,1720,1756,1767,47.45,-8.53,Northeast Atlantic
RAPiD-10-1P,15097,202,13479,47,12673,12748,12839,12663,12631,803,736,725,813,828,62.98,-17.59,Northeast Atlantic
MD01-2461,15182,200,11950,43,12726,12800,12735,12732,12739,-776,-854,-819,-784,-775,51.75,-12.92,Northeast Atlantic
RAPiD-15-4P,15253,301,14657,48,12776,12824,13145,12794,12905,1876,1843,1780,1861,1762,62.29,-17.13,Northeast Atlantic
MD04-2845,15306,248,14240,110,12812,12906,12935,12840,12901,1426,1338,1355,1411,1385,45.35,-5.22,Northeast Atlantic
MD95-2002,15369,281,14570,130,12864,12936,13318,12882,12905,1708,1648,1757,1698,1684,47.45,-8.53,Northeast Atlantic
DAPC2,15379,200,13410,130,12868,12978,13106,12886,12906,540,510,379,532,524,58.97,-9.61,Northeast Atlantic
