id,Calendar_age,Calendar_age_error,Reservoir_Min_Range_at_95.0%,Reservoir_Max_Range_at_95.0%,Mode,MidRange,Median
MD01-2461,23109,200,-2083.0,-85.0,-638.0,-1084.0,-583.0
94-609,23112,1464,-7033.0,4466.0,2353.0,-1284.0,2387.0
MD99-2331,23119,340,-1319.0,2039.0,1231.0,360.0,1329.0
MD99-2331,23237,331,-1002.0,1761.0,1069.0,380.0,1122.0
DAPC2,23320,200,-799.0,1466.0,1041.0,334.0,1050.0
MD04-2829CQ,23400,200,-551.0,1571.0,1220.0,510.0,1221.0
MD99-2331,23460,303,-1.0,2639.0,2171.0,1319.0,2149.0
MD04-2845,23468,258,-518.0,1729.0,1363.0,606.0,1347.0
MD95-2002,23493,290,-1007.0,1103.0,779.0,48.0,759.0
MD99-2331,23514,296,99.0,2682.0,2278.0,1390.0,2238.0
MD99-2331,23636,281,926.0,3547.0,3195.0,2236.0,3102.0
MD99-2331,23758,271,346.0,2927.0,2626.0,1636.0,2436.0
NA87-22,23795,587,-3013.0,1903.0,1283.0,-555.0,962.0
MD04-2845,23822,257,-569.0,1820.0,1123.0,626.0,1301.0
94-609,23841,1304,-6116.0,4861.0,2440.0,-628.0,2791.0
DAPC2,23930,200,-381.0,2071.0,1419.0,845.0,1476.0
MD99-2331,24016,287,385.0,3069.0,2381.0,1727.0,2418.0
MD01-2461,24082,200,-2312.0,-499.0,-916.0,-1406.0,-944.0
MD95-2002,24085,345,-1991.0,1012.0,394.0,-490.0,350.0
MD99-2331,24119,295,181.0,2973.0,2304.0,1577.0,2318.0
MD01-2461,24175,411,-2173.0,1524.0,616.0,-324.0,765.0
MD95-2002,24318,351,-2086.0,958.0,238.0,-564.0,311.0
MD99-2331,24417,273,390.0,3226.0,2715.0,1808.0,2737.0
NA87-22,24837,742,-4552.0,1848.0,861.0,-1352.0,759.0
GIK23415-9,24894,755,-4711.0,1690.0,748.0,-1510.0,609.0
MD99-2331,24966,346,452.0,3956.0,3479.0,2204.0,3426.0
MD01-2461,24988,200,-2437.0,-211.0,-478.0,-1324.0,-515.0
DAPC2,25015,200,-1079.0,1527.0,1149.0,224.0,1123.0
MD01-2461,25041,419,-2296.0,1315.0,928.0,-490.0,794.0
MD04-2829CQ,25172,200,-606.0,1803.0,1421.0,598.0,1408.0
MD04-2845,25466,338,-1683.0,1677.0,1147.0,-3.0,1130.0
DAPC2,25647,200,-79.0,2844.0,2442.0,1382.0,2391.0
MD01-2461,25743,200,-2520.0,-46.0,-334.0,-1283.0,-440.0
MD01-2461,25821,459,-2647.0,1480.0,1063.0,-584.0,701.0
MD04-2845,26011,385,-2334.0,1570.0,585.0,-382.0,728.0
DAPC2,26271,200,-268.0,2397.0,1923.0,1064.0,1890.0
NA87-22,26421,884,-4987.0,3075.0,1439.0,-956.0,1523.0
MD99-2331,26512,601,-882.0,4752.0,3526.0,1935.0,3589.0
MD99-2331,26512,601,-1561.0,4004.0,2771.0,1222.0,2847.0
RAPiD-17-5P,27310,255,-1221.0,1434.0,608.0,106.0,777.0
MD99-2331,27331,708,-2290.0,4403.0,3779.0,1056.0,3167.0
NA87-22,27353,752,-4362.0,2896.0,2154.0,-733.0,1551.0
NA87-22,27353,752,-5438.0,1778.0,1058.0,-1830.0,441.0
MD01-2461,27354,363,-1971.0,1751.0,814.0,-110.0,941.0
MD04-2845,27620,384,-1983.0,1931.0,1138.0,-26.0,1012.0
MD04-2845,27907,360,-1582.0,2121.0,1084.0,270.0,1244.0
MD04-2829CQ,27922,200,-835.0,1429.0,721.0,297.0,804.0
NA87-22,28000,536,-2017.0,3663.0,2310.0,823.0,2442.0
MD99-2331,28103,763,-5045.0,1894.0,290.0,-1576.0,350.0
MD95-2002,28165,343,-2583.0,1125.0,336.0,-729.0,365.0
MD04-2845,28180,334,-1839.0,1695.0,951.0,-72.0,974.0
94-609,28240,436,-2794.0,2599.0,1547.0,-98.0,1566.0
MD01-2461,28462,371,-1934.0,1626.0,1143.0,-154.0,1070.0
SU92-03,28593,428,-2862.0,982.0,635.0,-940.0,459.0
MD04-2845,28727,389,-2062.0,1805.0,1223.0,-128.0,1139.0
MD99-2331,28894,800,-4208.0,2456.0,663.0,-876.0,1138.0
MD04-2845,28957,399,-3110.0,1291.0,595.0,-910.0,532.0
MD04-2829CQ,28982,200,-600.0,1746.0,1339.0,573.0,1310.0
PS2644-5,29050,462,-3384.0,1757.0,776.0,-814.0,850.0
94-609,29288,539,-3234.0,2511.0,1374.0,-362.0,1479.0
MD99-2331,29324,818,-4601.0,2221.0,799.0,-1190.0,890.0
MD95-2002,29341,399,-2918.0,1481.0,578.0,-718.0,675.0
MD01-2461,29363,499,-3433.0,1624.0,597.0,-904.0,692.0
MD01-2461,29696,479,-3525.0,1314.0,617.0,-1106.0,531.0
MD99-2331,29769,820,-4948.0,2174.0,1062.0,-1387.0,831.0
PS2644-5,29888,503,-5741.0,3616.0,1917.0,-1062.0,1903.0
MD99-2334,251,200,-1450.0,780.0,505.0,-335.0,472.0
MD99-2334,3707,81,-151.0,642.0,493.0,246.0,496.0
MD99-2334,8421,28,117.0,604.0,468.0,360.0,483.0
SHAK10-10K,11590,200,-633.0,1066.0,755.0,216.0,754.0
SHAK14-4G,11590,200,-724.0,975.0,664.0,126.0,663.0
SHAK03-6K,11590,200,-667.0,1032.0,721.0,182.0,720.0
MD99-2334,11690,200,-1334.0,442.0,153.0,-446.0,144.0
MD99-2334,12840,200,-1676.0,713.0,121.0,-482.0,185.0
SHAK10-10K,12868,200,-1253.0,1127.0,555.0,-63.0,599.0
SHAK14-4G,12868,200,-1293.0,1087.0,515.0,-103.0,559.0
SHAK03-6K,12868,200,-1260.0,1120.0,548.0,-70.0,592.0
SHAK05-3K,12868,200,-1463.0,917.0,345.0,-273.0,389.0
MD99-2334,14034,200,-969.0,752.0,369.0,-108.0,368.0
SHAK14-4G,14034,200,-907.0,814.0,431.0,-46.0,430.0
SHAK03-6K,14034,200,-730.0,991.0,608.0,130.0,607.0
SHAK05-3K,14034,200,-1092.0,629.0,246.0,-232.0,245.0
MD99-2334,14649,200,-873.0,824.0,553.0,-24.0,550.0
SHAK14-4G,14649,200,-604.0,1093.0,822.0,244.0,819.0
SHAK03-6K,14649,200,-630.0,1067.0,796.0,218.0,793.0
SHAK05-3K,14649,200,-880.0,817.0,546.0,-32.0,543.0
MD99-2334,15947,200,-340.0,1490.0,1139.0,575.0,1142.0
